"","mean_ND_UP","mean_c_UP","mean_e_UP","mean_ND_DN","mean_c_DN","mean_e_DN"
"UP049GDN082R",10.95,12.6365189073403,0.0760466663776345,23.85,12.9125444044783,0.067815084539247
"UP049GDN123R",29.31,16.0116053338411,0.261116628291408,25.21,15.8860123061528,0.0658571327925761
"UP082RDN123G",33.76,18.2471922406987,0.0835207103633141,16.81,20.9092080419273,0.0221079930834459
"UP123GDN180R",11.66,7.8728172339386,0.0125611007762048,22.32,14.4094090611305,0.0259654675803199
"UP180R",24.08,13.7183020510755,0.0104744831388847,NA,NA,NA
